old_id,address,decimals
$NAP,4G86CMxGsMdLETrYnavMFKPhQzKTvDBYGMRAdVtr72nu,6
ACS,5MAYDfq5yxtudAhtfyuMBuHZjgAbaS9tbEyEQYAhDS5y,6
ACTSOL,GJAFwWjJ3vnTsrQVabjBVK2TYB1YtRCQXRDfDgUnpump,6
AI16Z,HeLp6NuQkmYB4pYWo2zYs22mESHXPQYzXbB8n4V98jwC,9
AI16ZELIZA,wUtwjNmjCP9TTTtoc5Xn5h5sZ2cYJm5w2w44b79yr2o,6
AIOS,5QS7RcHfGUa2ZtrovPvEJMB9coqroiT7H48dPSwFpump,6
AIRC,61V8vBaqAGMpgDQi4JcAwo1dmBGHsyhzodcPqnEVpump,6
AISOL,99ouK5YUK3JPGCPX9joNtHsMU7NPpU7w91JN4kdQ97po,9
ALCH,HNg5PYJmtqcmzXrv6S9zP1CDKk5BgDuyFBxbvNApump,6
ALON,8XtRWb4uAAJFMP4QQhoYYCWR6XXb7ybcCdiqPwz9s5WS,6
AMC,9jaZhJM6nMHTo4hY9DGabQ1HNuUWhJtm7js1fmKMVpkN,9
AMU,AMUwxPsqWSd1fbCGzWsrRKDcNoduuWMkdR38qPdit8G8,9
ANALOS,7iT1GRYYhEop2nV1dyCwK2MGyLmPHq47WhPGSwiqcUg5,8
ANDY,667w6y7eH5tQucYQXfJ2KmiuGBE8HfYnqqbjLNSw7yww,6
ANON,8VJ51bdE3xorQ1zB7FEa8CsHdM4kw77xCFiCgbnL2qbT,6
APES,984GBL7PhceChtN64NWLdBb49rSQXX7ozpdkEbR1pump,6
ARGSOL,9XRpjZjhJPeWtUymiEWn3FW7uAnMeQca14ucTWWWyP2g,6
ATLAS,ATLASXmbPQxBUYbxPsV97usA3fPQYEqzQBUHgiFCUsXx,8
ATR,ATRLuHph8dxnPny4WSNW7fxkhbeivBrtWbY6BfB4xpLj,9
AURY,AURYydfxJib1ZkTir1Jn1J9ECYUtjb6rKQVmtYaixWPP,9
AVAAI,DKu9kykSfbN5LBfFXtNNDPaX35o4Fv6vJ9FKk7pZpump,6
AVB,6d5zHW5B8RkGKd51Lpb9RqFQSqDudr9GJgZ1SgQZpump,6
BABYSHARK,8nKP8Vc72pRZB6bhCy8D1UYf6ZjwYT859i6awyinpump,6
BANANASOL,FuQASH8ps9NPeDu4h3rVtMBygKYoSiSTZ4uSiA5tpump,6
BARSIK,7ZqzGzTNg5tjK1CHTBdGFHyKjBtXdfvAobuGgdt4pump,6
BAZINGA,C3JX9TWLqHKmcoTDTppaJebX2U7DcUQDEHVSmJFz6K6S,6
BBSOL,Bybit2vBJGhPF52GBdNaQfUJ6ZpThSgHBobjWZpLPb4B,9
BEER,AujTJJ7aMS8LDo3bFzoyXDwT3jBALUbu4VZhzZdTZLmG,6
BENDOG,AHW5N8iqZobTcBepkSJzZ61XtAuSzBDcpxtrLG6KUKPk,9
BERT,HgBRWfYxEfvPhtqkaeymCQtHCrKE46qQ43pKe8HCpump,6
BIAOSOL,2ru87k7yAZnDRsnqVpgJYETFgqVApuBcwB2xDb19pump,6
BIF,BgQ2Tj4y4YQume4guQrkK8RWB8oRQtHYtAta1tXubL1G,9
BILL,5o817YNoR97F1h5suzBghwc8dP53oureRuFbgJiaCFuZ,6
BILLYSOL,3B5wuUrMEi5yATD7on46hKfej3pfmd7t1RKgrsN3pump,6
BINU,DdWVqFmdQpyjdU3AeUSEhrsnJQBPH7iK9xdCFrBgpAy2,6
BIRDDOG,3XTp12PmKMHxB6YkejaGPUjMGBLKRGgzHWgJuVTsBCoP,9
BNSOL,BNso1VUJnh4zcfpZa6986Ea66P6TCp59hvtNJ8b1X85,9
BODEN,3psH1Mj1f7yUfaD5gh6Zj7epE8hhrMkMETgv5TshQA4o,9
BOME,ukHH6c7mMyiWCf1b9pnWe25TSpkDDt3H5pQZgZ74J82,6
BONK,DezXAZ8z7PnrnRJjz3wXBoRgixCa6xjnB7YaB1pPB263,5
BOZO,EJPtJEDogxzDbvM8qvAsqYbLmPj5n1vQeqoAzj9Yfv3q,9
BRAWL,5mdBkZ4dTP94SE7PyiuWseTDAd1kYxSk6oYaWB7186s7,9
BUIO,CaPS8EpC78RsnDdjNfZGd7Wjdg9156ijvC1aFcA1pump,6
BULLY,79yTpy8uwmAkrdgZdq6ZSBTvxKsgPrNqTLvYQBh1pump,6
BUTTCOIN,FasH397CeZLNYWkd3wWK9vrmjd1z93n3b59DssRXpump,6
BUZZ,9DHe3pycTuymFk4H4bbPoAJ4hQrr2kaLDF6J6aAKpump,6
CAPY,CAPYD6Lrm7bTZ6C7t7JvSxvpEcfKQ9YNB7kUjh6p6XBN,9
CATFROGDOGSHARK,fESbUKjuMY6jzDH9VP8cy4p3pu2q5W2rK2XghVfNseP,6
CATGPT,FGf1Us3kqu9AXu2x1yWKfiKE8uSx42ACvRiUrbuAodzq,9
CATINO,1A3CZ3b8f878LfqpT3stoiDC7C1EDMjda6A1xHakkMF,9
CB,3BeJ9zCgQhaqKMu2HgKJ79yQBChD1Pf3hPwRX44fpump,6
CENTS,C9FVTtx4WxgHmz55FEvQgykq8rqiLS8xRBVgqQVtpump,6
CHAN,ChanGGuDHboPswpTmKDfsTVGQL96VHhmvpwrE4UjWssd,9
CHILLGUY,Df6yfrKC8kZE3KNkrHERKzAetSxbrWeniQfyJY4Jpump,6
CHINU,FLrgwxXaX8q8ECF18weDf3PLAYorXST5orpY34d8jfbm,9
CHIPPY,3T9mBXQzfAn8Rf1LKDutvGMTd1EruJbFh3cM7MSMq3Py,6
CHUD,6yjNqPzTSanBWSa6dxVEgTjePXBrZ2FoHLDQwYwEsyM6,6
CITADAIL,7h5AzpYTAnh4Gyux8Gqko5Fvx4AYQBZdkzHZ2CsBudvJ,6
CLOUD,CLoUDKc4Ane7HeQcPpE3YHnznRxhMimJ4MyaUqyHFzAu,9
COK,Dnb9dLSXxAarXVexehzeH8W8nFmLMNJSuGoaddZSwtog,6
COME,GmW12mAzyTj897Y3pgxDQzpnNid7q58E8T7V56rmaUdD,6
COPE,8HGyAAB1yoM1ttS7pXjHMa3dukTFGQggnFFH3hJZgzQh,6
COST,Av6qVigkb7USQyPXJkUvAEm4f599WTRvd75PUWBA9eNm,9
COUPE,FDYEs26DrnS59A2aeRnU1ZF2BsxLGZSbaFCCpzDgDUq3,9
